Expression,Degree,Num_Terms,Num_Variables,Best_Method
5*x**3 + 2 = 0,3,2,1,symbolic
3*x**25 + 2*x**10 - 7 = 0,25,3,1,symbolic
x**47 + 4*y**20 - 5*x + 3 = 0,47,4,2,symbolic
2*x**50 - 9 = 0,50,2,1,numeric
x**100 + 3*y**30 - 2*z**10 + 5*x - 7 = 0,100,5,3,numeric
6*x**12 = 0,12,1,1,symbolic
7*x**7 + 2*y**3 - 4 = 0,7,3,2,symbolic
x**89 - 3*y**40 + 6*y - 8 = 0,89,4,2,numeric
2*w**150 + x**75 - 3*y**50 + 4*z**25 - 5 = 0,150,5,4,numeric
9*x**3 = 0,3,1,1,symbolic
4*x**45 + 7*y**10 = 0,45,2,2,symbolic
x**75 - 5*y**30 + 1 = 0,75,3,2,numeric
2*x**30 + 3*y**15 - 4*z**5 + 6 = 0,30,4,3,symbolic
8*x**60 - 10 = 0,60,2,1,numeric
x**200 + 3*y**100 - 4*x**50 + 2*y - 9 = 0,200,5,2,numeric
5*(x+y)**8 = 0,8,1,2,symbolic
x**35 + 4*y**15 - 6*z = 0,35,3,3,symbolic
w**400 - 3*x**200 + 2*y**100 - 7*z**50 = 0,400,4,4,numeric
x**65 + 4*y + 9*z = 0,65,2,3,numeric
x**10 + 2*x**7 - 3*x**5 + 4*x**2 - 8 = 0,10,5,1,symbolic
7*x**99 - 5*y**10 = 0,99,2,2,numeric
x**43 + 2*x**20 - 4*y**5 + 6 = 0,43,4,2,symbolic
9*x**88 - 3*x**44 + 7 = 0,88,3,1,numeric
w**210 + x**105 - 2*y**70 + 3*z**35 - 6 = 0,210,5,4,numeric 
4*x**17 = 0,17,1,1,symbolic
x**53 - 8*y = 0,53,2,2,numeric
x**11 + 3*x - 5*y = 0,11,3,2,symbolic
x**125 - 2*y**50 + 7*z - 4 = 0,125,4,3,numeric
x**95 + 2*x**70 - 3*x**40 + 5*y - 6 = 0,95,5,2,numeric
8*x**29 = 0,29,1,1,symbolic
w**500 + 3*x**250 - 7*z**100 = 0,500,3,4,numeric
3*x**2 - 4 = 0,2,2,1,symbolic
x**77 - 2*y**30 + 5*z**10 - 1 = 0,77,4,3,numeric
x**40 + 2*x**20 - 3*y**10 + 4*x - 6 = 0,40,5,2,symbolic
7*x**88 = 0,88,1,1,numeric
x**150 - 9*y**5 = 0,150,2,2,numeric
x**27 + 5*x**10 - 3*y = 0,27,3,2,symbolic
x**33 - 4*y**11 + 2*z**3 + 8 = 0,33,4,3,symbolic
w**68 + x**34 - 2*y**17 + 3*z**8 - 5 = 0,68,5,4,numeric
2*x**120 + 7 = 0,120,2,1,numeric
x**15 - 2*x**7 + 3 = 0,15,3,1,symbolic
x**55 + 4*x**28 - 6*y**14 + 2 = 0,55,4,2,numeric
x**3 + 2*y**1 - 4*z + 5*x - 6 = 0,3,5,3,symbolic
9*x**85 = 0,85,1,1,numeric
x**37 - 5*y**5 = 0,37,2,2,symbolic
w**260 + 3*x**130 - 7*z**65 = 0,260,3,4,numeric
x**90 - 2*x**45 + 5*y**15 - 8 = 0,90,4,3,numeric
7*(x+y)**6 = 0,6,1,2,symbolic
x**102 - 4*y**51 = 0,102,2,2,numeric
x**14 + 3*x**7 - 2 = 0,14,3,1,symbolic
